altitude_km,energy_eV,branch_probability,total_hot_O_production_cm-3_s-1,branch_hot_O_production_cm-3_s-1
98.75,0.415,0.058,859.1013608377896,49.8278789285918
101.25,0.415,0.058,1261.22439848453,73.15101511210274
103.75,0.415,0.058,1656.7773981711994,96.09308909392956
106.25,0.415,0.058,2234.2687066629815,129.58758498645292
108.75,0.415,0.058,3386.500932085047,196.41705406093274
111.25,0.415,0.058,5487.795582324945,318.2921437748468
113.75,0.415,0.058,8583.141169359298,497.82218782283934
116.25,0.415,0.058,12087.92088891377,701.0994115569987
118.75,0.415,0.058,15049.472633525169,872.8694127444599
121.25,0.415,0.058,17055.67210410533,989.2289820381093
123.75,0.415,0.058,16689.254628294,967.976768441052
126.25,0.415,0.058,15037.250724060083,872.1605419954848
128.75,0.415,0.058,12871.628263046035,746.5544392566701
131.25,0.415,0.058,10640.231728439136,617.1334402494699
133.75,0.415,0.058,8648.850480090014,501.63332784522083
136.25,0.415,0.058,6932.028561571245,402.0576565711322
138.75,0.415,0.058,5533.910395100342,320.9668029158198
141.25,0.415,0.058,4395.551697330553,254.9419984451721
143.75,0.415,0.058,3496.884072068174,202.8192761799541
146.25,0.415,0.058,2778.2403835179275,161.1379422440398
148.75,0.415,0.058,2203.612171640225,127.80950595513305
151.25,0.415,0.058,1741.7002262964997,101.01861312519699
153.75,0.415,0.058,1374.158460053368,79.70119068309535
156.25,0.415,0.058,1073.4865116949923,62.262217678309554
158.75,0.415,0.058,831.6408674988777,48.23517031493491
161.25,0.415,0.058,639.622962083383,37.098131800836214
163.75,0.415,0.058,489.3366755393626,28.381527181283033
166.25,0.415,0.058,373.9553991584395,21.68941315118949
168.75,0.415,0.058,286.58757239238406,16.622079198758275
171.25,0.415,0.058,220.87523985660732,12.810763911683225
173.75,0.415,0.058,171.5121852366805,9.947706743727469
176.25,0.415,0.058,134.2977331045725,7.789268520065206
178.75,0.415,0.058,106.05571532532932,6.151231488869101
181.25,0.415,0.058,83.93324446983823,4.8681281792506175
183.75,0.415,0.058,66.26742447790488,3.8435106197184834
186.25,0.415,0.058,52.66693832612046,3.0546824229149867
188.75,0.415,0.058,42.15823344489921,2.4451775398041544
191.25,0.415,0.058,33.996420043761205,1.97179236253815
193.75,0.415,0.058,27.61608975230238,1.601733205633538
196.25,0.415,0.058,22.595470302544307,1.3105372775475699
198.75,0.415,0.058,18.617616831008625,1.0798217761985003
