altitude_km,longitude_deg,latitude_deg,Tn_K,Ti_K,Te_K,nCO2_m3,nO_m3,nN2_m3,nCO_m3,nO2_m3,nO2p_m3,nOp_m3,nCO2p_m3,ne_m3,UN_ms,VN_ms,WN_ms,nO2p_cm3,ne_cm3,k_dr_cm3s,alpha_dr_cm3s,Q_hotO_cm3s
98.75,27.5,0.0,122.86,122.875,122.875,2.8811e+18,1.72745e+16,7.01735e+16,7487950000000000.0,3459150000000000.0,34320000000.0,265780.0,39872500.0,34361500000.0,-46.925,0.5788499999999999,-0.0230845,34320.0,34361.5,3.642461902638422e-07,429.5506804188948,859.1013608377896
101.25,27.5,0.0,121.795,121.805,121.805,1.9848e+18,1.2935e+16,4.91945e+16,6037050000000000.0,2396600000000000.0,41439500000.0,558795.0,81714000.0,41523500000.0,-47.301,0.6205499999999999,-0.036697,41439.5,41523.5,3.664830628727541e-07,630.612199242265,1261.22439848453
103.75,27.5,0.0,121.14,121.155,121.155,1.3595e+18,9719050000000000.0,3.44815e+16,4864200000000000.0,1657300000000000.0,47376000000.0,1042400.0,153665000.0,47533000000.0,-47.647499999999994,0.6521499999999998,-0.0461055,47376.0,47533.0,3.678582922237645e-07,828.3886990855997,1656.7773981711994
106.25,27.5,0.0,120.925,120.945,120.945,9.2693e+17,7337100000000000.0,2.4201e+16,3920850000000000.0,1145600000000000.0,54914500000.0,1941300.0,313325000.0,55234500000.0,-47.9655,0.6735,-0.0406075,54914.5,55234.5,3.68305281315677e-07,1117.1343533314907,2234.2687066629815
108.75,27.5,0.0,121.25,121.25999999999999,121.25999999999999,6.2971e+17,5570500000000000.0,1.70285e+16,3164050000000000.0,792690000000000.0,67491500000.0,3962550.0,731970000.0,68242500000.0,-48.2555,0.6838500000000001,0.0234946,67491.5,68242.5,3.676352912538998e-07,1693.2504660425236,3386.500932085047
111.25,27.5,0.0,122.475,122.485,122.485,4.2584e+17,4247500000000000.0,1.2001e+16,2552050000000000.0,548570000000000.0,85802000000.0,8691700.0,1760250000.0,87601000000.0,-48.519999999999996,0.6836,-0.060684,85802.0,87601.0,3.65057651114067e-07,2743.8977911624725,5487.795582324945
113.75,27.5,0.0,124.89500000000001,124.905,124.905,2.87055e+17,3252800000000000.0,8480600000000000.0,2055900000000000.0,380190000000000.0,107205000000.0,18830000.0,3900100000.0,111170000000.0,-48.7605,0.6733999999999998,-0.062065499999999996,107205.0,111170.0,3.6009211617182327e-07,4291.570584679649,8583.141169359298
116.25,27.5,0.0,128.475,128.495,128.495,1.93665e+17,2507300000000000.0,6031550000000000.0,1656350000000000.0,264925000000000.0,127065000000.0,37433000.0,7563500000.0,134740000000.0,-48.9755,0.6538000000000002,-0.052642,127065.0,134740.0,3.5301985283314887e-07,6043.960444456885,12087.92088891377
118.75,27.5,0.0,133.11,133.125,133.125,1.31295e+17,1948800000000000.0,4332800000000000.0,1335950000000000.0,186315000000000.0,141585000000.0,60871000.0,12572500000.0,154325000000.0,-49.168499999999995,0.6255,-0.0438345,141585.0,154325.0,3.443798679097927e-07,7524.7363167625845,15049.472633525169
121.25,27.5,0.0,138.585,138.6,138.6,8.97935e+16,1529400000000000.0,3154100000000000.0,1079500000000000.0,132710000000000.0,150790000000.0,43938500.0,17917500000.0,168920000000.0,-49.341499999999996,0.5901000000000001,-0.0190995,150790.0,168920.0,3.347998297471138e-07,8527.836052052666,17055.67210410533
